symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
ICICIBANK,LONG,34,2025-08-21 09:30:00+05:30,1439.2316,2025-08-21 10:00:00+05:30,1445.0498,19782,6450,13332,Supertrend flipped up,target
HDFCBANK,LONG,50,2025-08-21 12:30:00+05:30,996.6989,2025-08-21 15:15:00+05:30,994.9014,-8987,6476,-15463,Supertrend flipped up,intraday square-off
TCS,SHORT,16,2025-08-22 09:30:00+05:30,3082.6749,2025-08-22 10:00:00+05:30,3066.7875,25420,6456,18964,Supertrend flipped down,target
RELIANCE,SHORT,35,2025-08-22 09:30:00+05:30,1416.175,2025-08-22 15:00:00+05:30,1409.265,24185,6464,17721,Supertrend flipped down,target
ICICIBANK,SHORT,34,2025-08-22 09:30:00+05:30,1434.4695,2025-08-22 15:15:00+05:30,1437.7312,-11090,6440,-17530,Supertrend flipped down,intraday square-off
TCS,LONG,16,2025-08-25 09:30:00+05:30,3111.9333,2025-08-25 09:45:00+05:30,3129.2112,27645,6484,21161,Supertrend flipped up,target
RELIANCE,LONG,35,2025-08-25 14:00:00+05:30,1418.3254,2025-08-25 15:15:00+05:30,1409.8769,-29570,6461,-36031,Supertrend flipped up,intraday square-off
HDFCBANK,LONG,50,2025-08-25 09:30:00+05:30,988.8966,2025-08-25 15:15:00+05:30,980.7057,-40954,6451,-47405,Supertrend flipped up,intraday square-off
INFY,SHORT,32,2025-08-26 12:15:00+05:30,1524.1426,2025-08-26 15:15:00+05:30,1528.2583,-13170,6440,-19610,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,35,2025-08-26 09:30:00+05:30,1416.5749,2025-08-26 15:15:00+05:30,1416.7249,-525,6467,-6992,Supertrend flipped down,intraday square-off
TCS,SHORT,16,2025-08-28 09:30:00+05:30,3117.8644,2025-08-28 15:00:00+05:30,3099.7357,29006,6476,22530,Supertrend flipped down,target
RELIANCE,SHORT,36,2025-08-29 14:30:00+05:30,1367.9895,2025-08-29 14:30:00+05:30,1355.5855,44654,6452,38202,Supertrend flipped down,target
TCS,LONG,16,2025-09-01 09:30:00+05:30,3117.9351,2025-09-01 15:15:00+05:30,3112.566,-8591,6477,-15068,Supertrend flipped up,intraday square-off
INFY,LONG,33,2025-09-01 09:30:00+05:30,1499.3497,2025-09-01 15:15:00+05:30,1498.7502,-1978,6462,-8440,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,35,2025-09-01 13:00:00+05:30,1408.8225,2025-09-01 15:15:00+05:30,1411.2765,8589,6460,2129,Supertrend flipped up,intraday square-off
ICICIBANK,SHORT,35,2025-09-02 13:30:00+05:30,1402.1792,2025-09-02 13:45:00+05:30,1395.9908,21659,6449,15210,Supertrend flipped down,target
RELIANCE,LONG,36,2025-09-02 09:30:00+05:30,1374.1121,2025-09-02 14:15:00+05:30,1364.5905,-34278,6453,-40731,Supertrend flipped up,Supertrend flipped down
TCS,SHORT,16,2025-09-02 13:45:00+05:30,3124.1625,2025-09-02 14:15:00+05:30,3109.6423,23232,6481,16751,Supertrend flipped down,target
INFY,SHORT,33,2025-09-02 14:15:00+05:30,1495.9511,2025-09-02 15:15:00+05:30,1499.2496,-10885,6460,-17345,Supertrend flipped down,intraday square-off
HDFCBANK,LONG,52,2025-09-03 14:15:00+05:30,949.5848,2025-09-03 15:00:00+05:30,953.5702,20724,6466,14258,Supertrend flipped up,target
TCS,LONG,16,2025-09-04 10:00:00+05:30,3112.9336,2025-09-04 15:15:00+05:30,3094.2714,-29859,6467,-36326,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,35,2025-09-04 09:30:00+05:30,1411.3233,2025-09-04 15:15:00+05:30,1404.4785,-23957,6454,-30411,Supertrend flipped up,intraday square-off
RELIANCE,LONG,36,2025-09-05 09:30:00+05:30,1370.1109,2025-09-05 14:00:00+05:30,1377.7816,27614,6465,21149,Supertrend flipped up,target
HDFCBANK,SHORT,52,2025-09-05 11:00:00+05:30,955.5133,2025-09-05 14:00:00+05:30,963.8391,-43294,6475,-49769,Supertrend flipped down,Supertrend flipped up
ICICIBANK,LONG,35,2025-09-05 14:30:00+05:30,1399.9198,2025-09-05 15:15:00+05:30,1401.1795,4409,6449,-2040,Supertrend flipped up,intraday square-off
TCS,LONG,16,2025-09-09 09:30:00+05:30,3041.4122,2025-09-09 09:30:00+05:30,3055.5601,22637,6442,16195,Supertrend flipped up,target
INFY,LONG,33,2025-09-09 09:30:00+05:30,1481.0442,2025-09-09 10:15:00+05:30,1493.9536,42601,6455,36146,Supertrend flipped up,target
RELIANCE,SHORT,36,2025-09-09 10:15:00+05:30,1373.4878,2025-09-09 15:15:00+05:30,1376.7129,-11610,6463,-18073,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,35,2025-09-09 10:15:00+05:30,1398.7802,2025-09-09 15:15:00+05:30,1404.3212,-19393,6446,-25839,Supertrend flipped down,intraday square-off
INFY,SHORT,32,2025-09-11 09:30:00+05:30,1516.5449,2025-09-11 15:00:00+05:30,1507.431,29165,6429,22736,Supertrend flipped down,target
HDFCBANK,LONG,51,2025-09-11 13:45:00+05:30,968.6905,2025-09-11 15:15:00+05:30,967.1098,-8062,6458,-14520,Supertrend flipped up,intraday square-off
ICICIBANK,LONG,35,2025-09-12 11:30:00+05:30,1411.4233,2025-09-12 13:45:00+05:30,1416.633,18234,6466,11768,Supertrend flipped up,target
TCS,SHORT,16,2025-09-15 09:30:00+05:30,3114.6653,2025-09-15 10:15:00+05:30,3104.4581,16332,6477,9855,Supertrend flipped down,target
INFY,SHORT,33,2025-09-15 09:30:00+05:30,1506.148,2025-09-15 15:15:00+05:30,1507.7522,-5294,6474,-11768,Supertrend flipped down,intraday square-off
TCS,LONG,16,2025-09-16 10:00:00+05:30,3125.3373,2025-09-16 12:30:00+05:30,3136.0198,17092,6488,10604,Supertrend flipped up,target
HDFCBANK,SHORT,51,2025-09-16 09:30:00+05:30,964.1607,2025-09-16 15:15:00+05:30,967.2401,-15705,6454,-22159,Supertrend flipped down,intraday square-off
HDFCBANK,SHORT,51,2025-09-17 14:00:00+05:30,966.0601,2025-09-17 15:15:00+05:30,966.89,-4232,6456,-10688,Supertrend flipped down,intraday square-off
ICICIBANK,LONG,35,2025-09-18 10:30:00+05:30,1425.8276,2025-09-18 14:30:00+05:30,1416.0436,-34244,6469,-40713,Supertrend flipped up,stop-loss
TCS,SHORT,15,2025-09-18 13:30:00+05:30,3168.4492,2025-09-18 15:15:00+05:30,3176.7527,-12455,6396,-18851,Supertrend flipped down,intraday square-off
HDFCBANK,SHORT,51,2025-09-19 10:00:00+05:30,969.809,2025-09-19 11:15:00+05:30,965.3893,22540,6462,16078,Supertrend flipped down,target
