symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
INFY,LONG,34,2025-08-19 11:45:00+05:30,1445.2334,2025-08-19 15:15:00+05:30,1439.468,-19602,6446,-26048,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,SHORT,35,2025-08-20 10:00:00+05:30,1426.4719,2025-08-20 15:15:00+05:30,1431.2292,-16651,6481,-23132,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
HDFCBANK,LONG,50,2025-08-21 12:45:00+05:30,997.099,2025-08-21 15:15:00+05:30,994.9014,-10988,6476,-17464,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,LONG,15,2025-08-25 10:00:00+05:30,3126.5377,2025-08-25 15:15:00+05:30,3138.1583,17431,6379,11052,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,LONG,15,2025-09-01 11:15:00+05:30,3126.7377,2025-09-01 15:15:00+05:30,3112.566,-21258,6368,-27626,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
INFY,LONG,33,2025-09-01 14:15:00+05:30,1501.1502,2025-09-01 15:15:00+05:30,1498.7502,-7920,6463,-14383,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,SHORT,35,2025-09-02 13:30:00+05:30,1402.1792,2025-09-02 14:00:00+05:30,1392.7259,33086,6448,26638,"EMA20 crossed below EMA50, price below EMA200",target
TCS,SHORT,16,2025-09-03 10:30:00+05:30,3104.6683,2025-09-03 15:15:00+05:30,3099.0294,9022,6471,2551,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
INFY,SHORT,33,2025-09-03 10:00:00+05:30,1479.556,2025-09-03 15:15:00+05:30,1479.5437,40,6441,-6401,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,SHORT,36,2025-09-04 09:30:00+05:30,1364.7904,2025-09-04 15:15:00+05:30,1358.7075,21899,6450,15449,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,LONG,35,2025-09-04 10:00:00+05:30,1411.7234,2025-09-04 15:15:00+05:30,1404.4785,-25357,6454,-31811,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,SHORT,35,2025-09-09 11:30:00+05:30,1397.8805,2025-09-09 14:00:00+05:30,1405.1779,-25541,6446,-31987,"EMA20 crossed below EMA50, price below EMA200",stop-loss
