symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
HDFCBANK,LONG,51,2025-10-13 09:45:00+05:30,976.793,2025-10-13 15:15:00+05:30,976.1071,-3498,6476,-9974,uptrend pullback: RSI 33.4->40.4 crossed 35.0,intraday square-off
ICICIBANK,LONG,35,2025-10-20 09:45:00+05:30,1411.4233,2025-10-20 12:45:00+05:30,1398.8199,-44112,6448,-50560,uptrend pullback: RSI 32.3->35.8 crossed 35.0,stop-loss
INFY,SHORT,34,2025-10-20 10:30:00+05:30,1458.3624,2025-10-20 15:15:00+05:30,1460.6381,-7737,6467,-14204,downtrend rally: RSI 71.7->59.6 crossed 65.0,intraday square-off
RELIANCE,LONG,34,2025-10-24 09:45:00+05:30,1448.8345,2025-10-24 15:15:00+05:30,1452.0643,10981,6459,4522,uptrend pullback: RSI 30.3->35.4 crossed 35.0,intraday square-off
INFY,LONG,33,2025-10-27 09:45:00+05:30,1512.1535,2025-10-27 13:00:00+05:30,1502.6583,-31334,6470,-37804,uptrend pullback: RSI 32.6->37.5 crossed 35.0,stop-loss
INFY,SHORT,33,2025-11-07 14:15:00+05:30,1473.1579,2025-11-07 14:15:00+05:30,1480.2751,-23487,6435,-29922,downtrend rally: RSI 66.0->61.8 crossed 65.0,stop-loss
TCS,SHORT,16,2025-11-10 09:45:00+05:30,2994.1015,2025-11-10 09:45:00+05:30,3008.3848,-22853,6410,-29263,downtrend rally: RSI 67.8->57.6 crossed 65.0,stop-loss
INFY,LONG,32,2025-11-13 10:00:00+05:30,1540.462,2025-11-13 13:00:00+05:30,1552.7582,39348,6469,32879,uptrend pullback: RSI 32.2->42.1 crossed 35.0,target
ICICIBANK,LONG,36,2025-11-14 11:00:00+05:30,1373.3119,2025-11-14 11:30:00+05:30,1368.0687,-18875,6456,-25331,uptrend pullback: RSI 27.4->37.7 crossed 35.0,stop-loss
TCS,LONG,16,2025-11-14 11:00:00+05:30,3098.9294,2025-11-14 12:45:00+05:30,3083.233,-25114,6460,-31574,uptrend pullback: RSI 29.5->45.6 crossed 35.0,stop-loss
